Year,Submission,Acceptance,Acceptance rate,Place
2001,,,,Lake Como
2002,,,,Kinsale
2003,,,,Essex
2004,,,,Coimbra
2005,,,,Lausanne
2006,,,,Budapest
2007,,,,Valencia
2008,,,,Naples
2009,143,91,,Tübingen
2010,191,109,,Istanbul
2011,,,,Torino
2012,,,,Málaga
2013,,,,Vienna
2014,,,,Granada
2015,,,,Copenhagen
2016,,,,Porto
2017,,,,Amsterdam
2018,,,,Parma
2019,,,,Leipzig
2020,62,44,,Seville
